CODE,NEDERLANDSE OMSCHRIJVING ,ENGELSE OMSCHRIJVING
46473,Groothandel in verlichtingsapparatuur,Wholesale trade of lighting equipment
4648,Groothandel in uurwerken en sieraden,Wholesale of watches and jewellery
46480,Groothandel in uurwerken en sieraden,Wholesale trade of watches and jewellery
4649,Groothandel in andere consumentenartikelen,Wholesale of other household goods
46491,"Groothandel in kranten, boeken en tijdschriften","Wholesale trade of newspapers, books and periodicals"
46492,Groothandel in kantoor- en schoolbenodigdheden,Wholesale trade of school and office supplies
4649201,"Groothandel in papierwaren, kantoor- en schoolbehoeften","Wholesale trade of stationery, office supplies and school supplies"
46493,Groothandel in papier- en kartonwaren,Wholesale trade of articles of paper and cardboard
46494,Groothandel in niet-elektrische huishoudelijke artikelen,Wholesale trade of non-electrical household goods
4649401,Groothandel in bestekken en huishoudelijke artikelen van metaal,Wholesale trade of cutlery and metal ware for table and kitchen
4649411,Groothandel niet-elektrische huishoudapparaten,Wholesale trade of non-electrical household appliances
46495,Groothandel in fietsen,Wholesale trade of cycles
46496,"Groothandel in sport- en kampeerartikelen, met uitzondering van fietsen","Wholesale trade of sporting and camping goods, except cycles"
4649601,Groothandel in sport- en kampeerartikelen,Wholesale trade of sporting goods and camping
46497,Groothandel in spellen en speelgoed,Wholesale trade of games and toys
46498,Groothandel in lederwaren en reisartikelen,Wholesale trade of leather and travel goods
4649801,Groothandel in lederwaren en reisartikelen,Wholesale trade of leather and travel goods
46499,"Groothandel in andere consumentenartikelen, n.e.g.",Wholesale trade of other household goods n.e.c.
4649901,Groothandel in muziekinstrumenten,Wholesale trade of musical instruments
4649902,"Groothandel in houtwaren, vlechtwerk en kurkwaren","Wholesale trade of wood products, wicker and cork"
4649903,"Overige groothandel in consumentenartikelen,n.e.g.",Other wholesale trade of consumer goods n.e.s.
465,Groothandel in informatie- en communicatieapparatuur,Wholesale of information and communication equipment
4651,"Groothandel in computers, randapparatuur en software","Wholesale of computers, computer peripheral equipment and software"
46510,"Groothandel in computers, randapparatuur en software","Wholesale trade of computers, computer peripheral equipment and software"
4652,Groothandel in elektronische en telecommunicatieapparatuur en delen  daarvan,Wholesale of electronic and telecommunications equipment and parts
46520,Groothandel in elektronische en telecommunicatieapparatuur en delen  daarvan,Wholesale trade of electronic and telecommunications equipment and parts
466,Groothandel in andere machines en werktuigen en toebehoren,"Wholesale of other machinery, equipment and supplies"
4661,"Groothandel in machines, werktuigen en toebehoren voor de  landbouw","Wholesale of agricultural machinery, equipment and supplies"
46610,"Groothandel in machines, werktuigen en toebehoren voor de  landbouw","Wholesale trade of agricultural machinery, equipment and supplies"
4662,Groothandel in gereedschapswerktuigen,Wholesale of machine tools
46620,Groothandel in gereedschapswerktuigen,Wholesale trade of machine tools
4663,"Groothandel in machines voor de mijnbouw, de bouwnijverheid en de weg- en waterbouw","Wholesale of mining, construction and civil engineering machinery"
46630,"Groothandel in machines voor de mijnbouw, de bouwnijverheid en de weg- en waterbouw","Wholesale trade of mining, construction and civil engineering machinery"
4664,Groothandel in machines voor de textielindustrie en in naai- en breimachines,Wholesale of machinery for the textile industry and of sewing and knitting machines
46640,Groothandel in machines voor de textielindustrie en in naai- en breimachines,Wholesale trade of machinery for the textile industry and of sewing and knitting machines
4665,Groothandel in kantoormeubelen,Wholesale of office furniture
46650,Groothandel in kantoormeubelen,Wholesale trade of office furniture
4666,Groothandel in andere kantoormachines en kantoorbenodigdheden,Wholesale of other office machinery and equipment
46660,"Groothandel in andere kantoormachines en kantoorbenodigdheden, met uitzondering van computers en randapparatuur",Wholesale trade of other office machinery and equipment
4669,Groothandel in andere machines en werktuigen,Wholesale of other machinery and equipment
46691,Groothandel in machines voor de productie van voedings- en genotmiddelen,"Wholesale trade of machinery for the production of food, beverages and tobacco"
46692,Groothandel in verpakkingsmachines en weegtoestellen,Wholesale trade of packaging machines and weighing machines
46693,"Groothandel in elektrisch materiaal, inclusief installatiemateriaal","Wholesale trade of electrical material, including installation material"
46694,"Groothandel in hijs-, hef- en transportwerktuigen",Wholesale trade of lifting and handling equipment
46695,Groothandel in pompen en compressoren,Wholesale trade of pumps and compressors
46696,"Groothandel in meet-, controle- en navigatieinstrumenten","Wholesale trade of instruments and appliances for measuring, testing and navigating"
46697,"Groothandel in machines en apparaten voor de warmte-, koel- en vriestechniek voor industrieel gebruik",Wholesale trade of machinery and heating and cooling devices for industrial use
46699,"Groothandel in andere machines en werktuigen, n.e.g.",Wholesale trade of other machinery and equipment n.e.c.
4669901,Groothandel in munitie,Wholesale trade of ammunition
467,Overige gespecialiseerde groothandel,Other specialised wholesale
4671,"Groothandel in vaste, vloeibare en gasvormige brandstoffen en aanverwante producten","Wholesale of solid, liquid and gaseous fuels and related products"
46710,"Groothandel in vaste, vloeibare en gasvormige brandstoffen en aanverwante producten","Wholesale trade of solid, liquid and gaseous fuels and related products"
4671001,"Groothandel in vaste, vloeibare en gasvormige brandstoffen","Wholesale trade of solid, liquid and gaseous fuels"
4671002,"Groothandel in motorbrandstoffen, vetten en smeeroliën, andere oliën, enz.","Wholesale trade of fuels, greases, lubricants, oils, etc."
4672,Groothandel in metalen en metaalertsen,Wholesale of metals and metal ores
46720,Groothandel in metalen en metaalertsen,Wholesale trade of metals and metal ores
4672001,Groothandel in ferro- en non-ferrometaalertsen,Wholesale trade of ferrous and non-ferrous metal ores
4672002,"Groothandel in ferro- en non-ferrometalen in primaire vormen, inclusief goud en andere edele metalen","Wholesale trade of ferrous and non-ferrous metals in primary forms, including gold and other precious metals"
4672003,"Groothandel in halffabrikaten van ferro- en non-ferrometalen, n.e.g.",Wholesale trade of semi-finished products of ferrous and non-ferrous metal
4673,"Groothandel in hout, bouwmaterialen en sanitair","Wholesale of wood, construction materials and sanitary equipment"
46731,"Groothandel in bouwmaterialen, algemeen assortiment","Wholesale trade of construction materials, general assortment"
4673101,"Groothandel in bouwmaterialen : zand, grind, cement, bakstenen, enz.","Wholesale trade of construction materials: sand, gravel, cement, bricks, etc."
4673102,"Groothandel in schrijnwerk, anders dan hout",Wholesale trade of joinery and building closures other than wood
46732,Groothandel in hout,Wholesale trade of wood
4673201,Groothandel in onbewerkt hout,Wholesale trade of rough wood
4673202,Groothandel in producten van de eerste bewerking van hout,Wholesale trade of products from the primary processing of wood
4673203,"Groothandel in panelen en platen, parket, enz.","Wholesale trade of panels, flooring, panelling, etc."
4673204,Groothandel in schrijn- en timmerwerk van hout voor de bouwnijverheid,Wholesale trade of joinery and wooden building closures
46733,"Groothandel in behang, verf en woningtextiel","Wholesale trade of wallpaper, paint and upholstery"
4673301,Groothandel in behang en muurbekleding,Wholesale trade of wallpapers and wall coverings
4673311,Groothandel in verf en vernis,Wholesale trade of paints and varnishes
46734,Groothandel in vlakglas,Wholesale trade of flat glass
4673401,Groothandel in vlakglas,Wholesale trade of flat glass
46735,Groothandel in vloer- en wandtegels,Wholesale trade of tiles
46736,Groothandel in sanitair,Wholesale trade of sanitary equipment
4673601,"Groothandel in sanitair : baden, wasbakken, toiletten, enz.","Wholesale trade of sanitary equipment: baths, washbasins, lavatory pans, etc."
46739,Groothandel in overige bouwmaterialen,Wholesale trade of other construction materials
4674,Groothandel in ijzerwaren en in installatiemateriaal voor loodgieterswerk en verwarming,"Wholesale of hardware, plumbing and heating equipment and supplies"
46741,Groothandel in ijzerwaren,Wholesale trade of hardware
4674101,"Groothandel in ijzerwaren voor algemeen gebruik(nagels, draad, schroeven, bouten,enz.),werktuigen(hamers, zagen, schroevendraaiers,enz.) en elektrisch aangedreven handgereedschap","Wholesale trade of general hardware (nails, wire, screws, bolts, etc.), hand tools (hammers, saws, screwdrivers, etc.) and power tools"
4674102,Groothandel in hang- en sluitwerk voor meubels en gebouwen,"Wholesale trade of general hardware (nails, wire, screws, bolts, etc.), hand tools (hammers, saws, screwdrivers, etc.) and power tools"
4674103,Groothandel in huishoudelijke gebruiksvoorwerpen van metaal,Wholesale trade of metal household utensils
46742,Groothandel in installatiemateriaal voor loodgieterswerk en verwarming,Wholesale trade of plumbing and heating supplies
4674201,Groothandel in apparaten voor centrale verwarming,Wholesale trade of central heaters
4674202,"Groothandel in materiaal voor de installatie van sanitair en centrale verwarming : buizen, pijpen, fittings, kranen, verbindingsstukken, rubberslangen, enz.","Wholesale trade of supplies for sanitary and central heating: tubes, pipes, pipe fittings, valves, rubber hoses, etc."
4675,Groothandel in chemische producten,Wholesale of chemical products
46751,Groothandel in chemische producten voor industrieel gebruik,Wholesale trade of industrial chemical products
4675101,"Groothandel in chem. prod. voor industrieel gebruik aniline, drukinkt, etherische oliën, industriële gassen, chem. lijm, kleurstoffen, synthetische hars, methanol, geuren smaakstoffen, paraffine, enz.","Wholesale trade of industrial chemicals: aniline, printing ink, essential oils, industrial gases, chemical glues, dyes, synthetic resin, methanol, paraffin, etc."
4675102,Groothandel in reinigingsmiddelen voor industrieel gebruik,Wholesale trade of industrial cleaning products
4675111,Groothandel in kruit en springstoffen,Wholesale trade of explosives
4675112,Groothandel in pyrotechnische artikelen,Wholesale trade of pyrotechnic articles
46752,Groothandel in kunstmeststoffen en andere agrochemische producten,Wholesale trade of fertilisers and plant protection products
4675201,Groothandel in kunstmeststoffen en chemische producten voor de landbouw,Wholesale trade of fertilisers and plant protection products for agricultural use
4676,Groothandel in andere intermediaire producten,Wholesale of other intermediate products
46761,Groothandel in diamant en andere edelstenen,Wholesale trade of diamonds and other gemstones
4676101,Groothandel in ruwe en bewerkte diamant,Wholesale trade of rough diamonds and shaped diamonds
4676102,Groothandel in overige edelstenen en halfedelstenen,Wholesale trade of other precious and semi-precious stones
46769,"Groothandel in andere intermediaire producten, n.e.g.",Wholesale trade of other intermediate products n.e.c.
4676901,Groothandel in textielgrondstoffen en -vezels,Wholesale trade of raw textile materials and textile fibres
4676902,"Groothandel in papier en karton, bestemd om industrieel verder te worden bewerkt",Wholesale trade of paper and board intended to be further processed by industry
